Location,Hospital_Name,State,District,Pincode,Latitude,Longitude
"304, Saffron-1, Jagubhai Park, Rambaug, Maninagar,",Shashvat Child Care,Gujarat,Ahmedabad,380008,22.9972835,72.5995933
Maninagar,Sheth Lallubhai Gorthandas General Hospital,Gujarat,Ahmedabad,380008,22.9961698,72.5995843
"C-4,Satyanarayan Society,Gor No Kuvo,Near Jasodanagar Cross Road,Maninagar (East )",Shivam Medical Hospital,Gujarat,Ahmedabad,380008,22.992081,72.6173344
"Shivam, Jagabhai Park, Maninagar",Shri J.S.Mehta Children Hospital and Neonatal Centre,Gujarat,Ahmedabad,380008,22.9961698,72.5995843
"Daxini Society, Near Goodluck Sindhi Hall,Maninagar",Shri Sati Ansuya Hospital,Gujarat,Ahmedabad,380008,22.9961698,72.5995843
"Nr. Jaldhara Water Park, Balvatika, Kankaria Maninagar",Siddhi Vinayak Hospital,Gujarat,Ahmedabad,380008,22.9947787,72.6038517
"Nr. Prakash Nagar Bus Stop, Jawahar Chowk Road, Maninagar",Sukrut Orthopaedic Hospital,Gujarat,Ahmedabad,380008,23.0011029,72.6089563
"2Nd Floor, Dev Darshan Complex, Jaihind Char Rasta, Maninagar",Synergy Neonatal and Pediatric Centre,Gujarat,Ahmedabad,380008,22.9990133,72.593244
"Gokul Complex, Char Rasta Maninagar",Tejal Eye Hospital And Phaco Surgery Clinic,Gujarat,Ahmedabad,380008,23.0460366,72.5511327
"4Th Floor, Shivani Avenue B/H Javahar Chowk Bus Stop, Bhairavnath Road, Maninagar",Tr Memorial Hospital,Gujarat,Ahmedabad,380008,22.9973389,72.5987432
"Kamal Apartments, Near Bank Of Baroda, Maninagar Char Rasta",V and M Orthopaedic Centre,Gujarat,Ahmedabad,380008,22.9973381,72.6080444
"Ami-Ganga Complex, Khokhara Circle, Khokhara",Vivek Children Hospital,Gujarat,Ahmedabad,380008,23.0017237,72.6183117
"1St Floor, Shreepal Commercial Centre, Six Ways, Khokhara",Yogiji Medical Hospital,Gujarat,Ahmedabad,380008,22.9991066,72.616569
Ashram Road,Aalok Hospital,Gujarat,Ahmedabad,380009,23.0420922,72.5695801
"Off. C. G. Road, Near President Hotel, Opposite Mahalya Building, Navrangpura",Anamay Eye Hospital - Ahmedabad,Gujarat,Ahmedabad,380009,23.0365437,72.5611395
"2Nd Floor, Ishwar Building, Op. Guj. Sports Club, Stadium Road, Navrangpura",Arpan Newborncare Centre,Gujarat,Ahmedabad,380009,23.0425151,72.562583
"3Rd Floor,Adit Medical Centre Navrangpura",Astha Kidney And Laparoscopy Hospital,Gujarat,Ahmedabad,380009,23.0365437,72.5611395
"5 Subhash Society, Behind Ishwar Bhuvan, Near H.L. Commerce College Six Roads, Navrangpura",Banker`S Retina Clinic and Laser Centre,Gujarat,Ahmedabad,380009,23.0365437,72.5611395
"405 Swapneel-5,H.L.Commerce College Circle, Navrangpura",Cheers Interventional Pain Management,Gujarat,Ahmedabad,380009,23.0403714,72.5541475
"Umalaya, Swastic Society, Navrangpura",Dr. Devendra Patel Nursing Home,Gujarat,Ahmedabad,380009,23.0365437,72.5611395
"3Rd Floor, Royal House, Nr. Golden Triangle, Sardar Patel Stadium Road, Navrangpura",Dr. Kandarp P. Parikh (Shyam Urosurgical Hospital),Gujarat,Ahmedabad,380009,23.0399849,72.5636698
"Adit Medical Centre, Behind Hindustan Garage, Nr. High Court Rly Crossing, Navrangpura",Dr. Mahendra Naik,Gujarat,Ahmedabad,380009,23.0365437,72.5611395
"90-B, Swastik Society, Nr Swastik Cross Roads, Navrangpura.",Dr. Malay D. Patel Hospital,Gujarat,Ahmedabad,380009,23.0365437,72.5611395
"7, Rashmi Society, Mithakhali, Navrangpura",Dr. Rajendra C. Patel Orthopaedic Nursing Home,Gujarat,Ahmedabad,380009,23.03285,72.562613
"304, Narayan Complex, Opp,Havmor Restaurant Nr. Navrangpura",Dr. Suresh K. Bhanshali,Gujarat,Ahmedabad,380009,23.0365437,72.5611395
"Nr. Somlalit School, Behind Hindu Colony, Stadium,Navrangpura",Jaju Plastic Surgery Center,Gujarat,Ahmedabad,380009,23.0365437,72.5611395
Nr Ramvadi Bus Stop,Kadam Maternity Home,Gujarat,Ahmedabad,380009,23.022505,72.5713621
"Ff, Shashwat Complex",Kanoria Hospital and Research Centre,Gujarat,Ahmedabad,380009,23.022505,72.5713621
"Basement, Shrey Hospital, Nr. Punjabi Hall, B/H Navrangpura Bus-Stop, Near Stadium Circle, Navrangpura",Karma Stone Clinic And Lithotripsy Centre Private,Gujarat,Ahmedabad,380009,23.0425151,72.562583
"No. 3, Jaymangal Society,Off 132 Feet Ring Road,Naranpura",Modi Eye Care,Gujarat,Ahmedabad,380009,23.0578255,72.5495996
"4, Pavan Apartment, Navarangpura",Nanavati Eye Hospital Pvt. Ltd,Gujarat,Ahmedabad,380009,23.0358364,72.5151678
"6-Rupam Society, Navrangpura",New Shalby Orthopaedic and Research Center,Gujarat,Ahmedabad,380009,23.0445355,72.5490158
"54,Shraddhadip Complex,Ankur Road, Shastrinagar,Naranpura",Nidhi Eye Hospital,Gujarat,Ahmedabad,380009,23.0569687,72.5574046
"Shreekunj, Patel Park, Stadium Commerce College Road, Navrangpura",Nidhi Hospital,Gujarat,Ahmedabad,380009,23.0376085,72.558612
Opp Memnagar Fire Station Vijay Char Rasta Navrangpura,Panchal Urology Centre,Gujarat,Ahmedabad,380009,23.0549589,72.5493202
"45, Hindu Colony, Nr Stadium Circle, Navrangura",Pramukh Neurosurgical Hosptial,Gujarat,Ahmedabad,380009,23.0492974,72.5619754
"108, Swastik Society,B/H. St. Xavier's Ladies Hostel Navrangpura",Pulse Women's Hospital Pvt. Ltd.,Gujarat,Ahmedabad,380009,23.0365437,72.5611395
"302 Zodiac Plaza, St. Xavier`S College Corner, Hl Commerce College Road, Navrangpura",Rangshree Clinic,Gujarat,Ahmedabad,380009,23.0376085,72.558612
"Second Floor, Near Sopan Flats, Navrangpura",Samdev Urology and Surgery Clinic,Gujarat,Ahmedabad,380009,23.0365437,72.5611395
Near Sopan Flats On Stadium Circle To Commerce College Six Road Navrangpura,Samved Orthopaedic Hospital,Gujarat,Ahmedabad,380009,23.0348708,72.5663963
"Second Floor, Near Sopan Flats, Navrangpura",Samved Urology and Surgery Clinic,Gujarat,Ahmedabad,380009,23.0365437,72.5611395
"No. 31, Govt Hsg Society, Near Navrangpura Municipal Market",Santosh Eye Hospital,Gujarat,Ahmedabad,380009,23.0365437,72.5611395
"Behind Old High Court, Navrangpura",Satya Medical Center,Gujarat,Ahmedabad,380009,23.0387991,72.5679062
"Off Ashram Road,B/H Sales India,Nr.Kandoi Bhogilal Mulchand,Navrangpura",Saviour Annexe Hospital,Gujarat,Ahmedabad,380009,23.0365437,72.5611395
"270/B/5, Near Amco Bank, Stadium Circle, Navrangpura",Shrey Hospital Pvt. Ltd.,Gujarat,Ahmedabad,380009,23.0425151,72.562583
"Off'ashram Road,Near Kandoibhogilal Mulchand,Dinesh Hall Navrangpura",Sukhmani Hospital / Saviour Annexe Hospital,Gujarat,Ahmedabad,380009,23.0365437,72.5611395
"Anamay Building, Nr. Hotel President,Swastik Char Rasta,C.G.Road,Navrangpura",Super Surgical Hospital,Gujarat,Ahmedabad,380009,23.0360548,72.5610286
"Silver Spring, B/H Xavier's Ladies Hostel, Navrangpuram",The Holistic Medical Centre Ayulink Ayurveda Hospital,Gujarat,Ahmedabad,380009,38.9906657,-77.026088
"90-B,Swasthik Society,Navrangpura",Umalay,Gujarat,Ahmedabad,380009,23.0376631,72.5606882
"2Nd Floor, Vedanta, Stadium Commerce College Road, Navrangpura",Vedanta Institute Of Medical Sciences,Gujarat,Ahmedabad,380009,23.0376085,72.558612
"3Rd Flr Royal House,Nr. Golden Triangal. Stadium Road, Navrangpura",Welcare Speciality Hospital,Gujarat,Ahmedabad,380009,23.0425151,72.562583
"202-203, Aarambh Complex,Near Ankur Bus Stop, Naranpura",Aarambh Heart and Medical Hospital,Gujarat,Ahmedabad,380013,23.0551934,72.5585003
"3-4, Nildhara, Opp Vyas Wadi Nava Wadaj",Ami-Sagar Hospital,Gujarat,Ahmedabad,380013,23.0672281,72.5665072
"6, Shrenik Society, Naranpura Char Rasta",Anand Eye Hospital,Gujarat,Ahmedabad,380013,23.0520412,72.5601436
"M/5/11/81, Shastri Nagar, Ankur Road, Naranpura",Aneri Orthopaedic and Maternity Hospital,Gujarat,Ahmedabad,380013,23.059562,72.558009
"A/3,4,Vijay Tower, Ankur Comm.Complex, Above Kalupur Comm.Bank, Ankur Cross Road, Ankur, Naranpura",Ankur Superspeciality Hospital,Gujarat,Ahmedabad,380013,23.0551934,72.5585003
"113,Abhishek Complex, 1St Floor, Nr. Kameshwar Mahadev, Ankur Road, Naranpura",Asha Maternity Hospital,Gujarat,Ahmedabad,380013,23.0569687,72.5574046
"1/2, Meghalay Flat, Nr Sardar Patel Colony, Naranpura",Bhadra Clinic Hospital,Gujarat,Ahmedabad,380013,23.0473095,72.5589466
"301, 302 3Rd Floor, Bodycare Complex",Bodycare Orthopaedic and Trauma Hospital,Gujarat,Ahmedabad,380013,23.0540244,72.5720102
"First Floor, Abhinandan Complex, Opposite Inductotherm Factory, Bopal",Bopal Multi Speciality Hospital,Gujarat,Ahmedabad,380013,23.2599333,77.412615
"29, Shantinagarsoc., Old Vadaj",Deep-Dhara Nursing Home,Gujarat,Ahmedabad,380013,23.0602149,72.5766759
"44/517, Chitrakut Appt.,Opposite Ioc Petrol Pump, Sola Road, Naranpura",Devi Hospital,Gujarat,Ahmedabad,380013,23.0543323,72.545606
"5Th Floor, Bodycare Medical Centre, Juna Wadaj",Dr. Manish Ravals Hospital,Gujarat,Ahmedabad,380013,23.0602149,72.5766759
"3B, Hasmukh Colony, Nr. Vijay Nagar Petrol Pump, Vijay Nagar Road, Naranpura",Dr. Saurabh Shah Orthopaedic Hospital,Gujarat,Ahmedabad,380013,23.0551934,72.5585003
"Third Floor, Shashwat Complex, Naranpura Char Rasta",Hari Urosurgical Hospital and Andrology Centre,Gujarat,Ahmedabad,380013,23.0549589,72.5493202
"4Th Floor, Body Medical Centre,Opposite Juna Wadaj Bus Stand, Ashram Road,Juna Wadaj",Harsh Neurosurgical Hospital,Gujarat,Ahmedabad,380013,23.0582661,72.577928
Usmanpura--13,Kalavati Nursing Home,Gujarat,Ahmedabad,380013,23.046206,72.570999
"11, Gokulnagar Society",Kanan Maternity and Nursing Home,Gujarat,Ahmedabad,380013,23.700115,72.5347078
"Dhanjibhai Complex, 2Nd Floor, Nr. Jivrapark Bus Stop B Block, Nr Naranpura Railway Crossing",Killol Children Hospital,Gujarat,Ahmedabad,380013,22.9943678,72.6131219
"Bhagvati Nagar,Opposite Patrakar Colony, Vijaynagar, Naranpura",Kumud Heart Hospital and Medical Nursing Home,Gujarat,Ahmedabad,380013,23.0623588,72.5574533
"Bsf-1-28, Swaminarayan Avenue,B Block,Aec Cross Road,Naranpura",Lady Care Women's Hospital and Child Care,Gujarat,Ahmedabad,380013,23.0551934,72.5585003
"280/1820, Subhash Nagar, Ioc Road, Chandkheda Bus Stand, Chandkheda",Life Care Hospital,Gujarat,Ahmedabad,380013,23.1115671,72.5727621
"Life Line Complex,12,Virnagar Society,Nr. Bhimjipura Char Rasta,Nava Vadaj",Life Lie Children and Healthcare Hospital Pvt. Ltd.,Gujarat,Ahmedabad,380013,23.062385,72.5663858
"Akhbarnagar Circle, New Wadaj",Manshi Multispeciality Hospital,Gujarat,Ahmedabad,380013,23.0673225,72.5623968
"Khodiyar Complex, Opposite Vijayanagar Petrol Pump, Near Patel Hall, Vijaynagar Road, Naranpura",Matruchhaya Children Hospital,Gujarat,Ahmedabad,380013,23.0595383,72.5585958
"304, Shashwat, Naran Pura Char Rasta",Minal Infertility Clinic and Nursing Home,Gujarat,Ahmedabad,380013,23.0520667,72.5607786
"Surya Rani Complex, Akhbar Nagar Char Rasta",Navjivan Maternity and Orthopaedic Hospital,Gujarat,Ahmedabad,380013,23.0673225,72.5623968
Sanstha Vasuhat Raopura Baroda,Neurosurgical Hospital(Vadodra),Gujarat,Ahmedabad,380013,22.3033187,73.2002291
"1St& 2Nd Floor,Shashwat Complex Naranpura Char Rasta Naranpura",Rhythm Cardio Pulmonary Care Centre,Gujarat,Ahmedabad,380013,23.0549589,72.5493202
"1, Prayag Society 1St Floor, Opp Ankur Bus Stand Naranpura",Riddhi Maternity Home,Gujarat,Ahmedabad,380013,23.0551934,72.5585003
"C-3,Hasmukh Colony,Vijaynagar Road, Naranpura",Samata Hospital Pvt.Ltd - Ahmedabad,Gujarat,Ahmedabad,380013,23.0568889,72.5607879
"11,Kamadurga Society Opp: Ankur Bus Stand Naranpura",Sanghvi Hospital,Gujarat,Ahmedabad,380013,23.0551934,72.5585003
"2Nd Floor, Mansarover Avenue, Opposite Tulsishyam Flats, Bhimjipura Char Rasta, Nava Vadaj",Satyam Urology and Kidney Hospital Pvt. Ltd.,Gujarat,Ahmedabad,380013,23.062385,72.5663858
"Samarpur Tower,Opp Panchdev Mahadev,132 Ring Road, Naranpura",Umiya Surgical Hospital,Gujarat,Ahmedabad,380013,23.0578255,72.5495996
"2Nd Floor Mansarovar Complex,Opp Uco Bank Nr Naranpura Police Chowky Naranpura",Vivek Children Hospital,Gujarat,Ahmedabad,380013,23.0551934,72.5585003
"Bansal House,Hatkesh Society,Navrangpura",Brij Basant Hospital,Gujarat,Ahmedabad,380014,23.0458602,72.5532019
"2Nd Floor, Shubham Complex, Opposite Bank Of Baroda, Sardar Patel Colony, Naranpura",Cancer Associates,Gujarat,Ahmedabad,380014,23.0488101,72.5628106
"14/A, Bharat Colony, Stadium Rd",Chirag Surgical Hospital,Gujarat,Ahmedabad,380014,23.0505421,72.5618768
Sardar Patel Statue Corner Stadium Road Naranpura,Life Care Institute Of Medical Sciences And Research Pvt Ltd (Limsar),Gujarat,Ahmedabad,380014,23.047877,72.5619306
New Civil Hospital,Maneklal and Jagjivan Ujamshi Institute Of Ophthalmo,Gujarat,Ahmedabad,380014,23.022505,72.5713621
"Aakar' 11, Nathalal Colony, Near Golden Triangle, Stadium Rd., Navrangpura",Onco Surgical Hospital and Endoscopy Clinic,Gujarat,Ahmedabad,380014,23.0425151,72.562583
"S P Colony, Naranpura",Pruthvi Med Nursing Home and Heart Centre,Gujarat,Ahmedabad,380014,23.0522531,72.5593154
"16, Sardar Patel Stadium Road-14",Radhaswami Nursing Home,Gujarat,Ahmedabad,380014,23.0505421,72.5618768
"Near Shanti Pura Circle,Sarkhej",Sahyog General Hospital and Nursing Home,Gujarat,Ahmedabad,380014,22.9877945,72.4713571
"1St Floor, Chandraprabhu Complex",Shalin Eyecare Hospital,Gujarat,Ahmedabad,380014,23.0563223,72.5702392
"Beside Meghaiaya Flats, Nr. Sardar Patel Colony, Naranpura",Vrundavan Hospital,Gujarat,Ahmedabad,380014,23.0488101,72.5628106
Polytechnic Road,Adventist Wockhardt Heart Hospital,Gujarat,Ahmedabad,380015,23.0261987,72.5500485
"Navkar Complex, Nr Shreyas Crossing",Aerimita Hospital and Ashvinau Research,Gujarat,Ahmedabad,380015,23.0128032,72.5457093
"Tirthjal, 132, Feet Ring Road, Satellite",Armaan Eye Hospital,Gujarat,Ahmedabad,380015,23.020409,72.5305849
"2, Satelite Society, OppositeSundervan, Ahemdabad",Jalaram Hospital,Gujarat,Ahmedabad,380015,23.0847359,72.5713358
"1St Floor, Ocean Park, Satellite Road, Nehru Nagar",Jyoti Maternity Hospital,Gujarat,Ahmedabad,380015,23.0220999,72.5385406
"Near Nehrunagar S M Road, Ambawadi",Khandwala Orthopeadic HospitalandSkin Clinic,Gujarat,Ahmedabad,380015,23.0224786,72.5426641
Parmial Garden Ambawadi,Kkrishana Heart and Super Speciality Institute,Gujarat,Ahmedabad,380015,23.0203135,72.5561606
"Near .S.T.Workshop Patiya,Naroda",Rudraksh Hospital,Gujarat,Ahmedabad,380015,23.065368,72.643426
"Anamay, Near Hotel President, C.G.Road Swastik Char Rasta, Navrangpura",Shyamal Orthopaedic Hospital,Gujarat,Ahmedabad,380015,23.036816,72.561433
"Kala -Tirth, Near Prenatirth Derasar,Jodhpur,Satellite",Tulip Women's Hospital,Gujarat,Ahmedabad,380015,23.0273062,72.5217587
"Shubham Hospital 2Nd Floor,Shubham Complex,Opp Bank Of Baroda,Near Sardar Patel's Statue,Sardar Patel Colony,Naranpura",Uro Care,Gujarat,Ahmedabad,380015,23.0488101,72.5628106
"3 Floor, Man Sarovar Complex, Opposite Uco Bank,Naranpura Char Rasta",Usha - Deep Hospital and Nursing Home,Gujarat,Ahmedabad,380015,23.0549589,72.5493202
Near Civil Hospital,Raj Nursing Home,Gujarat,Ahmedabad,380016,23.022505,72.5713621
"Mehshana State Highway, Near Chandkheda Bus Stop, Chandkheda",Satyamev Hospital,Gujarat,Ahmedabad,380016,23.1115671,72.5727621
"Jaroda Nagar, Chokdi Memnagar",Sharma Hospital,Gujarat,Ahmedabad,380016,23.0523843,72.5337182
Saraspur,Maniben K.K. Eye Hospital,Gujarat,Ahmedabad,380018,23.0317383,72.6113038
Navkar Complex Near Shreyas Railway Crossing,Navkar Hospital,Gujarat,Ahmedabad,380019,23.0128032,72.5457093
Sabarmati,Parth Children Hospital and Neonatal Care Center,Gujarat,Ahmedabad,380019,23.0883827,72.5864839
"Camp Road, Shahibaug",The Gujarat Research and Medical Institute ( Rajasthan Hospital),Gujarat,Ahmedabad,380021,23.0418187,72.5889963
"3Rd Floor, Sanket Complex, Opp:Petrol Pump, Mangal Park, Bhulabhai Park",N M Virani Wockhardt Hospital,Gujarat,Ahmedabad,380022,23.0057193,72.5897982
"2Nd Floor, Payoniyar Plaza, Syam Eastate, Soni Ni Chali Char Rasta, N.H. No.8, Odhav",Ayushman Medical Hospital and Dignosis Center,Gujarat,Ahmedabad,380024,23.0249514,72.6729322
"Savalia Hospital, 24, Moti Chambers, New Bapunagar",Dr. Anjana J Savalia,Gujarat,Ahmedabad,380024,23.0386956,72.6307533
"A/11, Surjit Society, Opposite Kailashdham -Ii,India Colony Road,Bapunagar",Karmdeep Orthopaedic - Skin Hospital,Gujarat,Ahmedabad,380024,23.0386642,72.6322052
"9/99, Vallabh Flets, Nr. Diamond Market & Dhanvantri Hospital, Bapunagar",Metalia Hospital and I C C U,Gujarat,Ahmedabad,380024,23.0386956,72.6307533
"Samjuba Hospital, Bapunagar",Ranchhodrai Eye Hospital,Gujarat,Ahmedabad,380024,23.0386956,72.6307533
"A-63, Shantidhara Society, Colony Road, Bapunagar",Shiv Jyoti Eye Hospital,Gujarat,Ahmedabad,380024,23.0386642,72.6322052
"Opposite Amber Cinema, Bapunagar",Shreeram Polyclinic,Gujarat,Ahmedabad,380024,23.034889,72.619559
"No. 7/75, Vallabh Flate,Near Bapunagar Cross Road",Tapan Hospital Pvt Ltd,Gujarat,Ahmedabad,380024,23.0386956,72.6307533
"Sbi Rd, Nr Bhidbhanhan Hanuman Temple, Bapunagar",Tilak Hospital,Gujarat,Ahmedabad,380024,23.0386956,72.6307533
"Sa-63, Shaktidhara Society, Bapunagar",Vatsalya Gynec Hospital,Gujarat,Ahmedabad,380024,23.0401359,72.6323309
"B/H Sukhsagar Complex, Opp Dinesh Chember Bapunagar, Opp Dinesh Chember Bapunagar",Ahmedabad Diomand Association Medical Trust (Kakadiya Hospital),Gujarat,Ahmedabad,380025,23.0386956,72.6307533
"B/H Sukh Sagar Complex, OppositeDinesh Chamber, L B Shastri Marg Bapunagar",Kakadiya Hospital,Gujarat,Ahmedabad,380025,23.0372086,72.630419
"4Th Floor, Kakadiya Hospital, B/H. Sukh Sagar Complex, Bapunagar",Krishna Siddhivinayak Heart Centre (A Unit Of Yogeshwar Healthcare Lmt),Gujarat,Ahmedabad,380025,23.0386956,72.6307533
"Sahajanand Complex, Bapa Sitaram Chowk, Harivilla Road, B/H. Parshwnath Town Ship, Nava Naroda",Prasad Hospital,Gujarat,Ahmedabad,380025,23.070887,72.6712894
"16-18, Sayona Arcade, Opposite Dinesh Chambers, Bapunagar",Smruti Opthalmic Nursing Home,Gujarat,Ahmedabad,380025,23.0386956,72.6307533
"Mathruchhaya Complex, Vastral Road,Rabari Colony Char Rasta Amraiwadi",Archan Eye Hospital and Phaco Centre,Gujarat,Ahmedabad,380026,23.007206,72.6275
"88/688, G H B Khokhara, Near Hatkeshwar Circle, Amraiwadi",Het Childcare Hospital,Gujarat,Ahmedabad,380026,22.9990895,72.6245071
"5/102, Laxmi Nagar, Satyam Nagar, Hanuman Amraiwadi",Sarveshwari Charitable Trust and General Hospital,Gujarat,Ahmedabad,380026,19.2074695,72.8664007
"4, Gandhi Gram Society Opposite Boi",Ami Eye Clinic,Gujarat,Ahmedabad,380027,43.5658231,-116.222316
"33, Prankunj Society",Medilink Hospital,Gujarat,Ahmedabad,380028,23.022505,72.5713621
"33, Prankunj Society, Kankaria",Pooja Hospital,Gujarat,Ahmedabad,380028,23.0082263,72.5945836
"1, 2 Nikunj Society, Sardar Patel Hospital Lane Rambaug Maninagar",Ramanlal Hospital,Gujarat,Ahmedabad,380028,22.9972835,72.5995933
"Gordhanwadi Tekra, Kankaria",Ratan Hospital,Gujarat,Ahmedabad,380028,23.0044106,72.5801565
"Neelkanth Apartment, Cadila Road, Ghodasar",Reva Maternity Home And Sonography Centre,Gujarat,Ahmedabad,380028,22.983271,72.6140787
"1,2 Nikunj Society,Sardar Patel Hospital Lane Rambaug Maninagar",Sardar Hosital,Gujarat,Ahmedabad,380028,22.9972835,72.5995933
"8/1, Jayant Park Soc., Nr. Suman Sajni Hall Pruvinagar, Kans Road, Ghodasar",Jhanvi Fracture and Orthopaedic Hospital,Gujarat,Ahmedabad,380050,22.9839274,72.6102337
"1St Floor, Akshar Avenue, Cadila Bridge Corner, Nr Atmamangal Hall, Ghodasar",Joitiba General Hospital,Gujarat,Ahmedabad,380050,22.9839274,72.6102337
"Ashopalavnagar, Nr Kalpur Co. Bank, Opp Anandwadi Bus Stop, Maninagar-Isanpur Rd",Shilp Orthopaedics And Trauma Centre,Gujarat,Ahmedabad,380050,22.9926277,72.5963139
"Cadila Punitnagar Road, Ghodasar",Shreejee Hospital,Gujarat,Ahmedabad,380050,22.9899993,72.611185
"1, Vagheshwari Society, Canal Road, Ghodasar, Maninagar",Suman Children Hospital,Gujarat,Ahmedabad,380050,22.981344,72.61116
"Sardar Complex, Govind Wadi",Apple Hospital,Gujarat,Ahmedabad,380051,21.1920041,72.799793
"1St Floor, Surganga Complex, Jivraj Park, Vejalpur",Sankalp Eye Hospital,Gujarat,Ahmedabad,380051,23.0057242,72.5329318
Shyamal Cross Roads,Sheetal Hospital,Gujarat,Ahmedabad,380051,23.022505,72.5713621
"Surganga Complex, 132 Ft. Ring Road",Shridhaj Orthopaedic Hospital,Gujarat,Ahmedabad,380051,23.0057242,72.5329318
"E-10, Tarunnagar Part-1, Subhash Chowk, Gurukul Road, Drive- In Road",Aroma Womens Hospital,Gujarat,Ahmedabad,380052,23.046609,72.5336155
Subhash Chowk Sonal Char Rasta Gurukul Road Memnagar,Chandrabhan Hospital and Gynac Institute,Gujarat,Ahmedabad,380052,23.0504677,72.5337197
"(Suyog) Building, 2Nd Floor, Beside Kamala Kam,Dhenu Hall, OppositeGandhi Labour Institute, Drive In Road, Memnagar",Cornea Foundation,Gujarat,Ahmedabad,380052,23.0459343,72.536235
"22,Hatkesh Society St-Xavier S High School Road Near Memnagar Fire Station,Darpan Five Roads",Day Night Accident Hospital,Gujarat,Ahmedabad,380052,23.0523843,72.5337182
"211,Heritage Plaza Drive In Road,Opposite Gurukul Memnagar",Gurukul E.N.T. Hospital,Gujarat,Ahmedabad,380052,23.046168,72.533821
"1St Floor, Oxford Tower, Gurukul Road, Memnagar",Jain Hospital And Icu,Gujarat,Ahmedabad,380052,23.0471333,72.5332871
"403 4Th Floor, B Wing Rudra Arcade Police Halmet Cross Roads Junction Of 132 Feet Ring Road Gurukul Road Memnagar",Jaydeep Hospital,Gujarat,Ahmedabad,380052,23.0504677,72.5337197
"132-Ft, Ring Road, Nr Helmet Circle, Memnagar",Kaizen Hospital,Gujarat,Ahmedabad,380052,23.0510083,72.5461162
"Memnagar Complex,Memnagar",Kalrav Children Hospital,Gujarat,Ahmedabad,380052,23.0462309,72.5345384
"2Nd Floor, Shantam Complex, Gurukul Road, Opp Navnit House, Memnagar",Kidney And Urology Hospital,Gujarat,Ahmedabad,380052,23.0523843,72.5337182
"52, Rudra Arcade B Helmet Circle, Drive In Road, Memnagar",Livewell Pain Clinic,Gujarat,Ahmedabad,380052,23.0455939,72.5418899
"132 Ft. Ring Road,Drive-In-Road Junction,Nr. Manavmandir, Memnagar","May Flower Womens Hospital Pvt. Ltd.,",Gujarat,Ahmedabad,380052,23.0523843,72.5337182
"103, Heritage Plaza, Opposite Gurukul, Drive - In - Road, Memnagar",Milan Orthopaedic and Fracture Hospital,Gujarat,Ahmedabad,380052,23.046168,72.533821
"Maruti Coplex, Subhash Chowk, Opp, Gurukul Mandir, Drive In Road, Memnagar",Nandan Maternity Home,Gujarat,Ahmedabad,380052,23.0459343,72.536235
Navjyot Complex Upper Ground Floor Near A-One School Subhash Chowk Memnagar,Neil Hospital,Gujarat,Ahmedabad,380052,23.0524198,72.5336212
"2Nd Floor, Kamdhenu House, Opposite Apang Manav Mandal, Drive In Road, Memnagar",Ortho Kids Clinic,Gujarat,Ahmedabad,380052,23.0459343,72.536235
"4,L K Society, B/H Sunset Row House, Next To Sterling Hospital, Gurukul Road, Memnagar",Pn Desai Eye Hospital,Gujarat,Ahmedabad,380052,23.0504677,72.5337197
"Gurukul Road, Memnagar",Raghudeep Eye Clinic,Gujarat,Ahmedabad,380052,23.0504677,72.5337197
"Rudra Arcade, 3Rd Floor,132 Ring Road Drive In Road Junction, Near Manav Mandir, Memnagar",Rajvee Ortho Spine and Child Neuro Hospital,Gujarat,Ahmedabad,380052,23.0523843,72.5337182
"2Nd Floor, Shantam Complex, Opp Navneet House, Gurukul Road Memnagar",Sarthak Orthopaedic Hospital,Gujarat,Ahmedabad,380052,23.0504677,72.5337197
"D Block, Shantiniketan Apartments, Opp H B Kapakia School, Gurukal Road, Memnagar",Shantiniketan Hospital Pvt Ltd,Gujarat,Ahmedabad,380052,23.6776471,87.6852323
"B-211, Rudra Arcade, Bis Mayflower Hus, Helmet Cross Road, Memnagar",Shantnam Eye Care Hospital,Gujarat,Ahmedabad,380052,23.0523843,72.5337182
"Bhaktinagar, Opposite Sun-Set Row House, Gurukul Road, Memnagar",Sharda Eye Hospital Phaco And Laser Centre - Ahmedabad,Gujarat,Ahmedabad,380052,23.0504677,72.5337197
"B- 4 Surya Complex Opp Navneet House, Gurukul Road, Memnagar",Shraddha Surgical Hospital,Gujarat,Ahmedabad,380052,23.0504677,72.5337197
"Samarpan Tower, Near Ankur Cross Road, 132 Ft Ring Road, Naranpura",Shree Umiya Surgical Hospital,Gujarat,Ahmedabad,380052,23.0551934,72.5585003
"F/5, Veermurti Comlex Opp Oxford Tower Gurukul Road Memnagar",Shreeji Orthopaedic And Ent Hospital,Gujarat,Ahmedabad,380052,23.0504677,72.5337197
"D-1 Block, Shantiniketan Appt., Opp H. B. Kapadia School Gurukul Road, Memnagar",Shreekrishna Hospital and Health Care Centre,Gujarat,Ahmedabad,380052,23.0504677,72.5337197
"Aavkar Complex,Opposite Gurukul Driven - In - Road,Memnagar",Smruti Fracture Orthopedic Hospital,Gujarat,Ahmedabad,380052,23.0523843,72.5337182
"Rudra Arcade,Drive In Road,Near Manavmandir,Memnagar",Sunflower Womens Endo Infertility and Hospital Pvt. Ltd.,Gujarat,Ahmedabad,380052,23.0523843,72.5337182
